Header,Line,Category,Identifier,Signature
winuser.h,41,TYPEDEF_CALLBACK,WNDPROC,"typedef LRESULT (CALLBACK *WNDPROC)(HWND，UINT，WPARAM，LPARAM);"
winuser.h,46,TYPEDEF_CALLBACK,DLGPROC,"typedef INT_PTR (CALLBACK *DLGPROC) (HWND， UINT， WPARAM， LPARAM);"
winuser.h,50,TYPEDEF_CALLBACK,TIMERPROC,"typedef VOID (CALLBACK *TIMERPROC) (HWND， UINT， UINT_PTR， DWORD);"
winuser.h,51,TYPEDEF_CALLBACK,GRAYSTRINGPROC,"typedef WINBOOL (CALLBACK *GRAYSTRINGPROC) (HDC， LPARAM， int);"
winuser.h,52,TYPEDEF_CALLBACK,WNDENUMPROC,"typedef WINBOOL (CALLBACK *WNDENUMPROC) (HWND， LPARAM);"
winuser.h,53,TYPEDEF_CALLBACK,HOOKPROC,"typedef LRESULT (CALLBACK *HOOKPROC) (int code， WPARAM wParam， LPARAM lParam);"
winuser.h,54,TYPEDEF_CALLBACK,SENDASYNCPROC,"typedef VOID (CALLBACK *SENDASYNCPROC) (HWND， UINT， ULONG_PTR， LRESULT);"
winuser.h,56,TYPEDEF_CALLBACK,PROPENUMPROCA,"typedef WINBOOL (CALLBACK *PROPENUMPROCA) (HWND， LPCSTR， HANDLE);"
winuser.h,57,TYPEDEF_CALLBACK,PROPENUMPROCW,"typedef WINBOOL (CALLBACK *PROPENUMPROCW) (HWND， LPCWSTR， HANDLE);"
winuser.h,59,TYPEDEF_CALLBACK,PROPENUMPROCEXA,"typedef WINBOOL (CALLBACK *PROPENUMPROCEXA) (HWND， LPSTR， HANDLE， ULONG_PTR);"
winuser.h,60,TYPEDEF_CALLBACK,PROPENUMPROCEXW,"typedef WINBOOL (CALLBACK *PROPENUMPROCEXW) (HWND， LPWSTR， HANDLE， ULONG_PTR);"
winuser.h,62,TYPEDEF_CALLBACK,EDITWORDBREAKPROCA,"typedef int (CALLBACK *EDITWORDBREAKPROCA) (LPSTR lpch， int ichCurrent， int cch， int code);"
winuser.h,63,TYPEDEF_CALLBACK,EDITWORDBREAKPROCW,"typedef int (CALLBACK *EDITWORDBREAKPROCW) (LPWSTR lpch， int ichCurrent， int cch， int code);"
winuser.h,65,TYPEDEF_CALLBACK,DRAWSTATEPROC,"typedef WINBOOL (CALLBACK *DRAWSTATEPROC) (HDC hdc， LPARAM lData， WPARAM wData， int cx， int cy);"
winuser.h,98,TYPEDEF_CALLBACK,NAMEENUMPROCA,"typedef WINBOOL (CALLBACK *NAMEENUMPROCA) (LPSTR， LPARAM);"
winuser.h,99,TYPEDEF_CALLBACK,NAMEENUMPROCW,"typedef WINBOOL (CALLBACK *NAMEENUMPROCW) (LPWSTR， LPARAM);"
winuser.h,2198,TYPEDEF_WINAPI,PREGISTERCLASSNAMEW,"typedef BOOLEAN (WINAPI *PREGISTERCLASSNAMEW)(LPCWSTR);"
winuser.h,3506,API_DECL,AllowSetForegroundWindow,"WINUSERAPI WINBOOL WINAPI AllowSetForegroundWindow(DWORD dwProcessId);"
winuser.h,3719,TYPEDEF_CALLBACK,MSGBOXCALLBACK,"typedef VOID (CALLBACK *MSGBOXCALLBACK)(LPHELPINFO lpHelpInfo);"
winuser.h,3961,API_DECL,GetWindowThreadProcessId,"WINUSERAPI DWORD WINAPI GetWindowThreadProcessId(HWND hWnd，LPDWORD lpdwProcessId);"
winuser.h,5846,TYPEDEF_CALLBACK,MONITORENUMPROC,"typedef WINBOOL (CALLBACK *MONITORENUMPROC)(HMONITOR，HDC，LPRECT，LPARAM);"
winuser.h,5888,TYPEDEF_CALLBACK,WINEVENTPROC,"typedef VOID (CALLBACK *WINEVENTPROC)(HWINEVENTHOOK hWinEventHook，DWORD event，HWND hwnd，LONG idObject，LONG idChild，DWORD idEventThread，DWORD dwmsEventTime);"
winuser.h,6113,API_DECL,GetSystemDpiForProcess,"WINUSERAPI UINT WINAPI GetSystemDpiForProcess(HANDLE hProcess);"
winuser.h,6126,API_DECL,GetDpiAwarenessContextForProcess,"WINUSERAPI DPI_AWARENESS_CONTEXT WINAPI GetDpiAwarenessContextForProcess(HANDLE hProcess);"
winbase.h,190,TYPEDEF_WINAPI,PFIBER_START_ROUTINE,"typedef VOID (WINAPI *PFIBER_START_ROUTINE) (LPVOID lpFiberParameter);"
winbase.h,192,TYPEDEF_WINAPI,PFIBER_CALLOUT_ROUTINE,"typedef LPVOID (WINAPI *PFIBER_CALLOUT_ROUTINE) (LPVOID lpParameter);"
winbase.h,1315,TYPEDEF_WINAPI,PRESTORE_LAST_ERROR,"typedef VOID (WINAPI *PRESTORE_LAST_ERROR) (DWORD);"
winbase.h,1455,TYPEDEF_WINAPI,PFE_EXPORT_FUNC,"typedef DWORD (WINAPI *PFE_EXPORT_FUNC) (PBYTE pbData， PVOID pvCallbackContext， ULONG ulLength);"
winbase.h,1456,TYPEDEF_WINAPI,PFE_IMPORT_FUNC,"typedef DWORD (WINAPI *PFE_IMPORT_FUNC) (PBYTE pbData， PVOID pvCallbackContext， PULONG ulLength);"
winbase.h,2123,TYPEDEF_WINAPI,PGET_SYSTEM_WOW64_DIRECTORY_A,"typedef UINT (WINAPI *PGET_SYSTEM_WOW64_DIRECTORY_A) (LPSTR lpBuffer， UINT uSize);"
winbase.h,2124,TYPEDEF_WINAPI,PGET_SYSTEM_WOW64_DIRECTORY_W,"typedef UINT (WINAPI *PGET_SYSTEM_WOW64_DIRECTORY_W) (LPWSTR lpBuffer， UINT uSize);"
winbase.h,2249,TYPEDEF_WINAPI,LPPROGRESS_ROUTINE,"typedef DWORD (WINAPI *LPPROGRESS_ROUTINE) (LARGE_INTEGER TotalFileSize， LARGE_INTEGER TotalBytesTransferred， LARGE_INTEGER StreamSize， LARGE_INTEGER StreamBytesTransferred， DWORD dwStreamNumber， DWORD dwCallbackReason， HANDLE hSourceFile， HANDLE hDestinationFile， LPVOID lpData);"
winbase.h,2373,TYPEDEF_CALLBACK,PCOPYFILE2_PROGRESS_ROUTINE,"typedef COPYFILE2_MESSAGE_ACTION (CALLBACK *PCOPYFILE2_PROGRESS_ROUTINE) (const COPYFILE2_MESSAGE *pMessage， PVOID pvCallbackContext);"
winbase.h,3037,TYPEDEF_WINAPI,PQUERYACTCTXW_FUNC,"typedef WINBOOL (WINAPI *PQUERYACTCTXW_FUNC) (DWORD dwFlags， HANDLE hActCtx， PVOID pvSubInstance， ULONG ulInfoClass， PVOID pvBuffer， SIZE_T cbBuffer， SIZE_T *pcbWrittenOrRequired);"
winbase.h,3063,TYPEDEF_WINAPI,APPLICATION_RECOVERY_CALLBACK,"typedef DWORD (WINAPI *APPLICATION_RECOVERY_CALLBACK) (PVOID pvParameter);"
winnt.h,8281,TYPEDEF_NTAPI,PIMAGE_TLS_CALLBACK,"typedef VOID (NTAPI *PIMAGE_TLS_CALLBACK)(PVOID DllHandle，DWORD Reason，PVOID Reserved);"
winnt.h,8894,TYPEDEF_WINAPI,PRTL_RUN_ONCE_INIT_FN,"typedef DWORD (WINAPI *PRTL_RUN_ONCE_INIT_FN)(PRTL_RUN_ONCE， PVOID， PVOID *);"
winnt.h,9222,TYPEDEF_NTAPI,PAPCFUNC,"typedef VOID (NTAPI *PAPCFUNC) (ULONG_PTR Parameter);"
winnt.h,9223,TYPEDEF_NTAPI,PVECTORED_EXCEPTION_HANDLER,"typedef LONG (NTAPI *PVECTORED_EXCEPTION_HANDLER) (struct _EXCEPTION_POINTERS *ExceptionInfo);"
winnt.h,9230,TYPEDEF_NTAPI,WORKERCALLBACKFUNC,"typedef VOID (NTAPI *WORKERCALLBACKFUNC) (PVOID);"
winnt.h,9231,TYPEDEF_NTAPI,APC_CALLBACK_FUNCTION,"typedef VOID (NTAPI *APC_CALLBACK_FUNCTION) (DWORD， PVOID， PVOID);"
winnt.h,9232,TYPEDEF_NTAPI,WAITORTIMERCALLBACKFUNC,"typedef VOID (NTAPI *WAITORTIMERCALLBACKFUNC) (PVOID， BOOLEAN);"
winnt.h,9234,TYPEDEF_NTAPI,PFLS_CALLBACK_FUNCTION,"typedef VOID (NTAPI *PFLS_CALLBACK_FUNCTION) (PVOID lpFlsData);"
